Trip_ID,start_area,end_area,distance_km,time_of_day,day_of_week,weather_condition,traffic_density_level,road_type,average_speed_kmph
TRIP_00036,HSR Layout,Hebbal,2.52,Evening Peak,Weekday,Clear,Very High,Highway,20.6
TRIP_00037,Banashankari,Rajajinagar,17.1,Evening Peak,Weekday,Fog,High,Highway,23.4
TRIP_00038,Hebbal,Sadashivanagar,7.93,Evening Peak,Weekday,Heatwave,Very High,Main Road,13.1
TRIP_00039,Peenya,Frazer Town,17.22,Afternoon,Weekday,Clear,Low,Inner Road,35.7
TRIP_00040,Peenya,HSR Layout,19.41,Afternoon,Weekday,Clear,High,Main Road,21.1
TRIP_00041,Bellandur,Chickpet,16.27,Afternoon,Weekday,Heatwave,Medium,Highway,47.0
TRIP_00042,Banashankari,Basavanagudi,9.58,Morning Peak,Weekend,Rain,Low,Highway,61.9
TRIP_00043,Bellandur,KR Puram,21.4,Evening Peak,Weekday,Clear,Very High,Highway,18.9
TRIP_00044,Banashankari,HSR Layout,16.6,Afternoon,Weekday,Clear,Low,Main Road,54.1
TRIP_00045,Sadashivanagar,Whitefield,20.73,Afternoon,Weekday,Fog,Very High,Highway,9.1
TRIP_00046,Yelahanka,RR Nagar,17.53,Evening Peak,Weekday,Clear,High,Highway,45.8
TRIP_00047,Rajajinagar,Banashankari,17.1,Night,Weekday,Clear,Low,Highway,66.0
TRIP_00048,Marathahalli,Jayanagar,15.88,Morning Peak,Weekday,Clear,High,Main Road,24.5
TRIP_00049,HSR Layout,Marathahalli,15.91,Evening Peak,Weekday,Heatwave,Very High,Highway,14.3
TRIP_00050,Sadashivanagar,Rajajinagar,5.98,Evening Peak,Weekday,Heatwave,Very High,Inner Road,7.9
TRIP_00051,Sadashivanagar,Marathahalli,21.24,Night,Weekend,Clear,Medium,Main Road,41.1
TRIP_00052,Banashankari,Yelahanka,24.67,Morning Peak,Weekday,Rain,High,Highway,28.1
TRIP_00053,BTM Layout,MG Road,7.89,Evening Peak,Weekday,Heatwave,High,Highway,29.6
TRIP_00054,HSR Layout,Bellandur,14.56,Morning Peak,Weekday,Clear,High,Highway,38.0
TRIP_00055,Kempegowda International Airport,Chickpet,16.54,Afternoon,Weekday,Heatwave,Very High,Highway,20.8
TRIP_00056,Malleshwaram,Bellandur,15.08,Afternoon,Weekday,Rain,Medium,Highway,32.3
TRIP_00057,Basavanagudi,Yelahanka,18.84,Afternoon,Weekend,Clear,Medium,Highway,47.1
TRIP_00058,Indiranagar,JP Nagar,2.15,Afternoon,Weekday,Clear,High,Main Road,21.2
TRIP_00059,Indiranagar,Chickpet,11.55,Afternoon,Weekday,Clear,Low,Main Road,37.5
TRIP_00060,Kempegowda International Airport,Indiranagar,13.13,Morning Peak,Weekend,Clear,High,Highway,31.0
TRIP_00061,Rajajinagar,Frazer Town,9.41,Morning Peak,Weekend,Clear,Medium,Highway,59.6
TRIP_00062,Indiranagar,BTM Layout,9.55,Morning Peak,Weekday,Clear,High,Main Road,23.7
TRIP_00063,Basavanagudi,Hebbal,15.06,Evening Peak,Weekday,Clear,Very High,Main Road,10.3
TRIP_00064,JP Nagar,NIMHANS,5.39,Morning Peak,Weekday,Clear,Very High,Highway,20.1
TRIP_00065,Marathahalli,Yelahanka,17.4,Night,Weekend,Clear,High,Highway,44.6
TRIP_00066,Malleshwaram,Frazer Town,4.62,Afternoon,Weekday,Fog,Medium,Inner Road,13.1
TRIP_00067,MG Road,Chickpet,2.54,Morning Peak,Weekday,Clear,High,Inner Road,8.0
TRIP_00068,Banashankari,Basavanagudi,9.58,Evening Peak,Weekday,Rain,Very High,Main Road,8.1
TRIP_00069,BTM Layout,HSR Layout,17.23,Morning Peak,Weekday,Heatwave,Medium,Highway,59.0
TRIP_00070,KR Puram,RR Nagar,24.21,Morning Peak,Weekend,Rain,Medium,Highway,44.8
TRIP_00071,KR Puram,Peenya,15.92,Evening Peak,Weekday,Clear,Very High,Highway,18.0
TRIP_00072,Bellandur,Peenya,11.21,Afternoon,Weekday,Rain,High,Highway,30.2
TRIP_00073,Koramangala,MG Road,9.27,Evening Peak,Weekend,Clear,Medium,Main Road,36.4
TRIP_00074,Chickpet,Yelahanka,19.18,Afternoon,Weekday,Clear,Medium,Main Road,34.8
TRIP_00075,Yelahanka,Marathahalli,17.4,Evening Peak,Weekday,Fog,Very High,Highway,9.1
TRIP_00076,Banashankari,Basavanagudi,9.58,Afternoon,Weekday,Clear,High,Inner Road,14.9
TRIP_00077,Jayanagar,Hebbal,6.67,Evening Peak,Weekday,Clear,Very High,Inner Road,9.5
TRIP_00078,KR Puram,Yelahanka,25.37,Morning Peak,Weekend,Heatwave,Medium,Highway,49.0
TRIP_00079,JP Nagar,Electronic City,1.51,Morning Peak,Weekday,Heatwave,Very High,Inner Road,8.3
TRIP_00080,Indiranagar,Whitefield,9.35,Evening Peak,Weekday,Clear,High,Inner Road,10.7
TRIP_00081,Sadashivanagar,JP Nagar,20.77,Afternoon,Weekday,Heatwave,Medium,Highway,48.2
TRIP_00082,Kempegowda International Airport,HSR Layout,10.32,Afternoon,Weekday,Rain,Medium,Main Road,25.5
TRIP_00083,Indiranagar,Sadashivanagar,19.14,Afternoon,Weekday,Clear,Medium,Main Road,43.4
TRIP_00084,MG Road,Kempegowda International Airport,14.14,Night,Weekend,Heatwave,Low,Main Road,38.1
TRIP_00085,Whitefield,Chickpet,12.9,Evening Peak,Weekend,Clear,High,Main Road,30.2
TRIP_00086,Peenya,Marathahalli,6.33,Morning Peak,Weekday,Clear,Medium,Main Road,41.4
TRIP_00087,Hebbal,Malleshwaram,6.08,Night,Weekday,Clear,Medium,Main Road,27.8
TRIP_00088,Electronic City,Malleshwaram,12.97,Evening Peak,Weekday,Heatwave,Very High,Highway,19.2
TRIP_00089,Hebbal,Peenya,20.5,Afternoon,Weekday,Rain,Medium,Highway,41.3
TRIP_00090,Malleshwaram,Kempegowda International Airport,13.83,Evening Peak,Weekend,Clear,High,Main Road,18.2
TRIP_00091,JP Nagar,Jayanagar,18.68,Morning Peak,Weekday,Clear,Very High,Highway,19.7
TRIP_00092,JP Nagar,KR Puram,15.71,Morning Peak,Weekday,Rain,Medium,Main Road,21.4
TRIP_00093,Sadashivanagar,Bellandur,22.01,Evening Peak,Weekend,Clear,Very High,Highway,18.2
TRIP_00094,Peenya,Rajajinagar,23.54,Evening Peak,Weekend,Clear,High,Highway,34.6
TRIP_00095,Basavanagudi,Rajajinagar,18.08,Afternoon,Weekday,Clear,Low,Inner Road,14.5
TRIP_00096,Sadashivanagar,Hebbal,7.93,Night,Weekday,Clear,Low,Inner Road,34.3
TRIP_00097,Koramangala,Electronic City,5.2,Morning Peak,Weekday,Clear,Very High,Inner Road,8.2
TRIP_00098,JP Nagar,NIMHANS,5.39,Night,Weekday,Rain,Low,Inner Road,28.7
TRIP_00099,Bellandur,RR Nagar,27.39,Afternoon,Weekend,Clear,Medium,Highway,45.7
TRIP_00100,NIMHANS,Kempegowda International Airport,10.81,Morning Peak,Weekday,Clear,Very High,Highway,20.5
TRIP_00101,NIMHANS,RR Nagar,25.2,Evening Peak,Weekday,Heatwave,High,Main Road,27.4
TRIP_00102,JP Nagar,BTM Layout,9.67,Evening Peak,Weekend,Heatwave,High,Main Road,22.1
TRIP_00103,Hebbal,Yelahanka,11.86,Evening Peak,Weekday,Clear,Very High,Highway,15.6
TRIP_00104,Marathahalli,Koramangala,2.85,Morning Peak,Weekday,Heatwave,Very High,Inner Road,7.7
TRIP_00105,Peenya,NIMHANS,7.2,Evening Peak,Weekday,Clear,High,Main Road,20.4
TRIP_00106,Sadashivanagar,Electronic City,19.38,Night,Weekend,Clear,Low,Main Road,50.6
TRIP_00107,Kempegowda International Airport,Chickpet,16.54,Morning Peak,Weekend,Heatwave,Medium,Highway,48.5
TRIP_00108,Jayanagar,Electronic City,18.07,Afternoon,Weekend,Rain,Low,Highway,42.9
TRIP_00109,Marathahalli,Sadashivanagar,21.24,Evening Peak,Weekday,Heatwave,High,Highway,38.1
TRIP_00110,Banashankari,KR Puram,3.56,Evening Peak,Weekday,Heatwave,High,Main Road,18.2
TRIP_00111,Yelahanka,Bellandur,13.52,Morning Peak,Weekend,Heatwave,Medium,Main Road,25.8
TRIP_00112,Hebbal,Yelahanka,11.86,Evening Peak,Weekend,Clear,Medium,Highway,52.7
TRIP_00113,Kempegowda International Airport,Banashankari,21.04,Evening Peak,Weekday,Fog,High,Inner Road,8.1
TRIP_00114,Yelahanka,HSR Layout,9.64,Night,Weekday,Fog,Medium,Main Road,14.4
TRIP_00115,Chickpet,BTM Layout,7.47,Evening Peak,Weekday,Fog,Low,Highway,38.3
TRIP_00116,Malleshwaram,Chickpet,3.94,Afternoon,Weekend,Clear,High,Inner Road,17.5
TRIP_00117,Peenya,NIMHANS,7.2,Morning Peak,Weekend,Heatwave,Low,Main Road,56.8
TRIP_00118,Marathahalli,RR Nagar,29.0,Afternoon,Weekday,Rain,High,Highway,30.8
TRIP_00119,Basavanagudi,Chickpet,8.98,Morning Peak,Weekday,Clear,High,Main Road,18.2
TRIP_00120,RR Nagar,JP Nagar,30.48,Evening Peak,Weekday,Clear,Medium,Highway,53.0
TRIP_00121,JP Nagar,Malleshwaram,14.25,Evening Peak,Weekday,Clear,Low,Highway,71.6
TRIP_00122,Banashankari,MG Road,7.48,Night,Weekend,Rain,Medium,Highway,33.4
TRIP_00123,Peenya,MG Road,12.39,Evening Peak,Weekday,Clear,High,Highway,33.6
TRIP_00124,Malleshwaram,Bellandur,15.08,Evening Peak,Weekday,Fog,High,Highway,17.6
TRIP_00125,Bellandur,Jayanagar,13.24,Evening Peak,Weekend,Rain,High,Highway,28.3
TRIP_00126,Indiranagar,RR Nagar,28.43,Morning Peak,Weekday,Clear,Very High,Highway,19.8
TRIP_00127,KR Puram,Yelahanka,25.37,Evening Peak,Weekend,Clear,Low,Highway,61.6
TRIP_00128,RR Nagar,Rajajinagar,8.97,Afternoon,Weekday,Clear,Medium,Inner Road,15.2
TRIP_00129,Marathahalli,Yelahanka,17.4,Evening Peak,Weekend,Clear,High,Main Road,23.7
TRIP_00130,Chickpet,Malleshwaram,3.94,Evening Peak,Weekday,Heatwave,High,Main Road,21.1
TRIP_00131,Basavanagudi,Yelahanka,18.84,Night,Weekday,Clear,High,Highway,42.8
TRIP_00132,Chickpet,KR Puram,6.2,Afternoon,Weekday,Clear,Medium,Main Road,43.4
TRIP_00133,Basavanagudi,Banashankari,9.58,Morning Peak,Weekend,Clear,Medium,Highway,48.9
TRIP_00134,MG Road,Koramangala,9.27,Morning Peak,Weekday,Rain,Medium,Main Road,19.3
TRIP_00135,Sadashivanagar,Whitefield,20.73,Evening Peak,Weekday,Heatwave,High,Highway,30.9
TRIP_00136,MG Road,Kempegowda International Airport,14.14,Morning Peak,Weekday,Clear,Medium,Main Road,38.8
TRIP_00137,Malleshwaram,HSR Layout,6.66,Night,Weekday,Clear,Low,Main Road,46.5
TRIP_00138,NIMHANS,Basavanagudi,2.68,Night,Weekday,Rain,Low,Inner Road,13.9
TRIP_00139,Jayanagar,HSR Layout,4.38,Morning Peak,Weekend,Heatwave,High,Main Road,27.2
TRIP_00140,KR Puram,Indiranagar,15.04,Evening Peak,Weekday,Clear,High,Main Road,22.3
TRIP_00141,JP Nagar,Banashankari,12.39,Morning Peak,Weekday,Rain,Very High,Inner Road,5.2
TRIP_00142,Banashankari,Rajajinagar,17.1,Afternoon,Weekday,Rain,Medium,Main Road,26.5
TRIP_00143,MG Road,Hebbal,9.3,Afternoon,Weekday,Clear,Medium,Main Road,39.3
TRIP_00144,Basavanagudi,Sadashivanagar,16.71,Evening Peak,Weekend,Fog,Low,Highway,40.6
TRIP_00145,NIMHANS,Koramangala,2.2,Evening Peak,Weekday,Clear,Very High,Inner Road,9.0
TRIP_00146,HSR Layout,Chickpet,10.59,Morning Peak,Weekday,Clear,Medium,Main Road,36.7
TRIP_00147,Basavanagudi,Sadashivanagar,16.71,Morning Peak,Weekday,Clear,Very High,Main Road,11.6
TRIP_00148,Bellandur,Whitefield,17.44,Evening Peak,Weekday,Heatwave,High,Highway,39.6
TRIP_00149,Indiranagar,NIMHANS,3.26,Afternoon,Weekday,Fog,High,Main Road,12.6
TRIP_00150,Marathahalli,Yelahanka,17.4,Morning Peak,Weekend,Clear,High,Highway,39.2
TRIP_00151,RR Nagar,Banashankari,25.98,Evening Peak,Weekday,Clear,Low,Highway,78.6
TRIP_00152,Whitefield,Malleshwaram,16.06,Morning Peak,Weekday,Rain,High,Main Road,17.7
TRIP_00153,Yelahanka,Bellandur,13.52,Evening Peak,Weekday,Clear,Medium,Main Road,29.3
TRIP_00154,Yelahanka,KR Puram,25.37,Afternoon,Weekday,Fog,Medium,Highway,36.2
TRIP_00155,RR Nagar,NIMHANS,25.2,Evening Peak,Weekend,Rain,High,Main Road,15.6
TRIP_00156,Banashankari,Frazer Town,7.88,Morning Peak,Weekday,Clear,High,Inner Road,12.0
TRIP_00157,Banashankari,Kempegowda International Airport,21.04,Afternoon,Weekday,Heatwave,Very High,Highway,20.3
TRIP_00158,MG Road,Indiranagar,9.57,Evening Peak,Weekend,Rain,Low,Main Road,28.7
TRIP_00159,Electronic City,MG Road,9.83,Afternoon,Weekday,Clear,High,Main Road,29.0
TRIP_00160,Jayanagar,Banashankari,20.09,Night,Weekday,Fog,Low,Main Road,32.1
TRIP_00161,Electronic City,Frazer Town,14.85,Afternoon,Weekday,Rain,Medium,Inner Road,16.8
TRIP_00162,Yelahanka,Chickpet,19.18,Morning Peak,Weekend,Fog,Medium,Inner Road,14.9
TRIP_00163,Yelahanka,Frazer Town,20.04,Night,Weekday,Heatwave,Low,Highway,71.0
TRIP_00164,Rajajinagar,Malleshwaram,8.11,Evening Peak,Weekday,Clear,Very High,Main Road,9.6
TRIP_00165,Electronic City,Kempegowda International Airport,14.99,Morning Peak,Weekday,Clear,High,Highway,38.6
TRIP_00166,Sadashivanagar,Marathahalli,21.24,Evening Peak,Weekday,Rain,High,Highway,23.2
TRIP_00167,Bellandur,NIMHANS,7.41,Evening Peak,Weekday,Fog,Low,Main Road,24.6
TRIP_00168,Kempegowda International Airport,Bellandur,6.9,Evening Peak,Weekday,Fog,Very High,Main Road,4.8
TRIP_00169,Rajajinagar,Indiranagar,20.1,Evening Peak,Weekday,Clear,High,Highway,41.0
TRIP_00170,Koramangala,Rajajinagar,18.42,Evening Peak,Weekend,Heatwave,High,Highway,38.1
TRIP_00171,Basavanagudi,Indiranagar,2.6,Evening Peak,Weekday,Clear,High,Main Road,28.5
TRIP_00172,NIMHANS,Marathahalli,4.77,Morning Peak,Weekday,Rain,Very High,Inner Road,4.8
TRIP_00173,KR Puram,Yelahanka,25.37,Afternoon,Weekend,Rain,Low,Highway,44.8
TRIP_00174,Koramangala,Frazer Town,14.76,Morning Peak,Weekend,Clear,High,Main Road,21.6
TRIP_00175,KR Puram,Electronic City,14.22,Evening Peak,Weekday,Clear,Very High,Main Road,11.1
TRIP_00176,Frazer Town,Malleshwaram,4.62,Morning Peak,Weekday,Heatwave,High,Main Road,21.6
TRIP_00177,Peenya,Indiranagar,4.03,Evening Peak,Weekday,Clear,Very High,Inner Road,8.3
TRIP_00178,JP Nagar,Banashankari,12.39,Morning Peak,Weekend,Rain,Medium,Highway,31.8
TRIP_00179,Banashankari,HSR Layout,16.6,Morning Peak,Weekday,Clear,Very High,Main Road,9.5
TRIP_00180,MG Road,Whitefield,12.67,Evening Peak,Weekday,Clear,Medium,Main Road,42.4
TRIP_00181,Basavanagudi,MG Road,7.13,Evening Peak,Weekend,Clear,Medium,Inner Road,23.1
TRIP_00182,Malleshwaram,Jayanagar,10.56,Afternoon,Weekday,Clear,High,Main Road,26.5
TRIP_00183,Peenya,Rajajinagar,23.54,Evening Peak,Weekend,Clear,High,Highway,36.3
TRIP_00184,Marathahalli,Bellandur,4.88,Afternoon,Weekday,Clear,High,Main Road,26.3
TRIP_00185,KR Puram,RR Nagar,24.21,Morning Peak,Weekday,Clear,High,Highway,41.4
TRIP_00186,Sadashivanagar,KR Puram,10.5,Morning Peak,Weekday,Rain,Very High,Highway,12.0
TRIP_00187,MG Road,HSR Layout,9.35,Afternoon,Weekday,Fog,High,Main Road,11.3
TRIP_00188,Chickpet,Frazer Town,3.35,Afternoon,Weekend,Clear,Medium,Inner Road,14.5
TRIP_00189,Indiranagar,Banashankari,11.95,Evening Peak,Weekend,Fog,Low,Main Road,22.1
TRIP_00190,JP Nagar,Jayanagar,18.68,Night,Weekday,Rain,Low,Inner Road,27.2
TRIP_00191,BTM Layout,JP Nagar,9.67,Evening Peak,Weekend,Clear,Low,Main Road,40.5
TRIP_00192,Frazer Town,Sadashivanagar,5.0,Evening Peak,Weekday,Fog,Medium,Inner Road,7.7
TRIP_00193,MG Road,Basavanagudi,7.13,Morning Peak,Weekday,Rain,High,Highway,29.9
TRIP_00194,KR Puram,Marathahalli,18.39,Night,Weekday,Rain,Low,Main Road,34.2
TRIP_00195,Electronic City,MG Road,9.83,Morning Peak,Weekday,Clear,Very High,Main Road,11.6
TRIP_00196,Electronic City,Bellandur,9.97,Evening Peak,Weekday,Clear,High,Main Road,20.4
TRIP_00197,Malleshwaram,Sadashivanagar,7.02,Afternoon,Weekday,Clear,Low,Main Road,54.9
TRIP_00198,Bellandur,Indiranagar,8.11,Morning Peak,Weekday,Fog,High,Main Road,16.3
TRIP_00199,Electronic City,Basavanagudi,2.8,Night,Weekend,Clear,Low,Inner Road,37.9
TRIP_00200,Whitefield,Hebbal,21.94,Morning Peak,Weekday,Clear,Medium,Highway,54.4
TRIP_00201,Electronic City,Frazer Town,14.85,Morning Peak,Weekend,Clear,Medium,Main Road,29.7
TRIP_00202,Rajajinagar,Basavanagudi,18.08,Afternoon,Weekday,Clear,Medium,Main Road,40.9
TRIP_00203,HSR Layout,Electronic City,16.77,Evening Peak,Weekday,Heatwave,High,Inner Road,15.3
TRIP_00204,NIMHANS,Marathahalli,4.77,Evening Peak,Weekday,Rain,Very High,Main Road,9.0
TRIP_00205,Hebbal,Koramangala,14.84,Evening Peak,Weekday,Clear,Very High,Main Road,11.0
TRIP_00206,Frazer Town,Indiranagar,14.87,Morning Peak,Weekday,Rain,High,Inner Road,11.4
TRIP_00207,Indiranagar,Sadashivanagar,19.14,Evening Peak,Weekday,Heatwave,Very High,Highway,18.7
TRIP_00208,Electronic City,JP Nagar,1.51,Morning Peak,Weekend,Clear,High,Inner Road,13.6
TRIP_00209,KR Puram,JP Nagar,15.71,Night,Weekend,Fog,Medium,Main Road,17.8
TRIP_00210,Malleshwaram,Whitefield,16.06,Afternoon,Weekday,Clear,Low,Main Road,54.9
TRIP_00211,KR Puram,Koramangala,16.26,Morning Peak,Weekend,Clear,Very High,Main Road,13.1
TRIP_00212,NIMHANS,HSR Layout,12.31,Evening Peak,Weekday,Rain,High,Highway,22.4
TRIP_00213,Rajajinagar,Indiranagar,20.1,Morning Peak,Weekday,Rain,Low,Main Road,40.1
TRIP_00214,NIMHANS,Frazer Town,12.66,Morning Peak,Weekend,Clear,Medium,Inner Road,27.4
TRIP_00215,RR Nagar,Banashankari,25.98,Morning Peak,Weekday,Heatwave,Very High,Main Road,13.6
TRIP_00216,BTM Layout,NIMHANS,9.79,Afternoon,Weekend,Rain,High,Main Road,17.8
TRIP_00217,Yelahanka,Kempegowda International Airport,6.61,Afternoon,Weekday,Clear,Medium,Main Road,44.5
TRIP_00218,NIMHANS,Koramangala,2.2,Morning Peak,Weekday,Clear,High,Highway,31.4
TRIP_00219,Sadashivanagar,RR Nagar,13.8,Morning Peak,Weekday,Clear,High,Main Road,16.7
TRIP_00220,Bellandur,Indiranagar,8.11,Afternoon,Weekday,Clear,Low,Main Road,54.2
TRIP_00221,Bellandur,Kempegowda International Airport,6.9,Evening Peak,Weekday,Rain,Very High,Highway,11.8
TRIP_00222,Basavanagudi,Indiranagar,2.6,Morning Peak,Weekday,Clear,Very High,Inner Road,8.6
TRIP_00223,Chickpet,Kempegowda International Airport,16.54,Morning Peak,Weekend,Clear,High,Main Road,24.7
TRIP_00224,Sadashivanagar,MG Road,9.58,Afternoon,Weekday,Rain,Medium,Main Road,27.9
TRIP_00225,HSR Layout,NIMHANS,12.31,Morning Peak,Weekday,Clear,High,Main Road,24.9
TRIP_00226,Electronic City,Banashankari,10.93,Morning Peak,Weekday,Clear,Low,Highway,75.6
TRIP_00227,JP Nagar,NIMHANS,5.39,Evening Peak,Weekday,Clear,High,Inner Road,14.5
TRIP_00228,BTM Layout,Frazer Town,10.05,Evening Peak,Weekday,Heatwave,Low,Highway,57.2
TRIP_00229,Marathahalli,Basavanagudi,5.89,Morning Peak,Weekend,Clear,Low,Highway,80.5
TRIP_00230,Sadashivanagar,Hebbal,7.93,Evening Peak,Weekday,Clear,High,Inner Road,13.4
TRIP_00231,Kempegowda International Airport,Whitefield,22.12,Afternoon,Weekend,Clear,Low,Highway,69.2
TRIP_00232,Chickpet,Indiranagar,11.55,Morning Peak,Weekend,Clear,Very High,Highway,21.9
TRIP_00233,Banashankari,Frazer Town,7.88,Morning Peak,Weekday,Heatwave,Very High,Inner Road,8.0
TRIP_00234,NIMHANS,HSR Layout,12.31,Afternoon,Weekend,Rain,Low,Main Road,35.4
TRIP_00235,MG Road,Whitefield,12.67,Night,Weekday,Fog,Low,Main Road,28.8
TRIP_00236,HSR Layout,Marathahalli,15.91,Evening Peak,Weekday,Heatwave,Very High,Inner Road,8.1
TRIP_00237,Chickpet,BTM Layout,7.47,Morning Peak,Weekday,Clear,Medium,Main Road,33.4
TRIP_00238,Frazer Town,BTM Layout,10.05,Afternoon,Weekend,Clear,Medium,Highway,50.9
TRIP_00239,Whitefield,HSR Layout,21.63,Evening Peak,Weekend,Heatwave,Medium,Main Road,38.8
TRIP_00240,Electronic City,Basavanagudi,2.8,Evening Peak,Weekday,Fog,Very High,Main Road,7.8
TRIP_00241,NIMHANS,Frazer Town,12.66,Evening Peak,Weekend,Clear,Very High,Main Road,12.9
TRIP_00242,RR Nagar,Whitefield,33.01,Afternoon,Weekend,Heatwave,Low,Inner Road,15.6
TRIP_00243,Marathahalli,MG Road,11.95,Morning Peak,Weekday,Heatwave,Very High,Main Road,13.8
TRIP_00244,Malleshwaram,Chickpet,3.94,Morning Peak,Weekday,Clear,High,Inner Road,15.5
TRIP_00245,Koramangala,Sadashivanagar,18.43,Evening Peak,Weekday,Fog,High,Main Road,10.8
TRIP_00246,Malleshwaram,Basavanagudi,10.19,Afternoon,Weekday,Clear,Medium,Highway,60.1
TRIP_00247,Banashankari,Indiranagar,11.95,Morning Peak,Weekday,Fog,Medium,Main Road,23.3
TRIP_00248,Peenya,Hebbal,20.5,Morning Peak,Weekday,Fog,Very High,Highway,10.0
TRIP_00249,NIMHANS,KR Puram,14.08,Evening Peak,Weekend,Rain,Medium,Main Road,19.1
TRIP_00250,Indiranagar,Koramangala,3.32,Evening Peak,Weekday,Clear,High,Inner Road,8.9
TRIP_00251,Malleshwaram,Banashankari,10.02,Evening Peak,Weekend,Heatwave,Medium,Highway,63.9
TRIP_00252,Whitefield,Kempegowda International Airport,22.12,Evening Peak,Weekday,Clear,Very High,Highway,16.5
TRIP_00253,Electronic City,Indiranagar,1.9,Afternoon,Weekday,Heatwave,Low,Inner Road,24.3
TRIP_00254,RR Nagar,Banashankari,25.98,Morning Peak,Weekend,Clear,Medium,Highway,60.4
TRIP_00255,Indiranagar,MG Road,9.57,Evening Peak,Weekend,Clear,Medium,Inner Road,13.9
TRIP_00256,Indiranagar,NIMHANS,3.26,Evening Peak,Weekday,Clear,Very High,Inner Road,8.7
TRIP_00257,Banashankari,Marathahalli,15.46,Night,Weekend,Rain,High,Highway,28.2
TRIP_00258,Rajajinagar,Yelahanka,15.04,Morning Peak,Weekday,Fog,High,Highway,17.6
TRIP_00259,Jayanagar,Frazer Town,14.89,Evening Peak,Weekday,Clear,Low,Highway,83.3
